Time frequency,Age class,Unit of measure,Sex,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Austria,5.2,5.7,6.0,6.1,6.5,5.9,5.2,4.8,6.0,6.2,4.8,5.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,17.4,15.4,13.2
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Belgium,7.6,8.6,8.7,8.7,7.9,7.2 b,6.0,5.5,5.8,6.3,5.6,5.5
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Bulgaria,13.3,13.9,12.4,10.1,8.6,7.2,6.2,5.2 b,6.1,5.2,4.2,4.3
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Switzerland,4.5,4.8,4.9,4.8,5.0,4.8,4.7,4.4,4.8,5.1,4.1,4.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Cyprus,11.9,15.9,16.1,15.0,13.0,11.1,8.4,7.2,7.6,7.2,6.3,5.8
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Czechia,7.0,7.0,6.1,5.1,4.0,2.9,2.2,2.0,2.6,2.8,2.2,2.6
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Germany,5.1,5.0,4.7,4.4,3.9,3.6,3.2,3.0,3.7 b,3.7,3.2,3.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Denmark,7.8,7.4,6.9,6.3,6.0 b,5.8 b,5.1,5.0,5.6,5.1,4.5,5.1 b
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Euro area – 20 countries (from 2023),11.5,12.2,11.7,11.0,10.1,9.1,8.2,7.6,8.0,7.8,6.8,6.6
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Estonia,9.9,8.6,7.3,6.4,6.8,5.8,5.4,4.5,6.9,6.2,5.6,6.4
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Greece,24.8,27.8,26.6,25.0,23.9,21.8,19.7,17.9,17.6,14.7,12.5,11.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Spain,24.8,26.1,24.5,22.1,19.6,17.2,15.3,14.1,15.5,14.9 d,13.0 d,12.2 d
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,European Union - 27 countries (from 2020),11.1,11.6,11.0,10.2,9.3,8.3,7.4,6.8,7.2,7.1,6.2,6.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Finland,7.9,8.3,8.7,9.4,8.9,8.7,7.5,6.8,7.7,7.7,6.8,7.2
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,France,9.8,10.3,10.3,10.3,10.1,9.4,9.0,8.4,8.0,7.9 d,7.3 d,7.3 d
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Croatia,16.1 b,17.3,17.3,16.2,13.0,11.1,8.3,6.6,7.4,7.5,6.8,6.1
