Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Thousand,Algeria,83.9,84.9,85.0,85.9,86.4,92.4,92.7,96.9,98.8,99.6,102.2,107.4,112.3,119.2,125.7,127.6,:,:
Annual,Thousand,Egypt,237.0,255.0,267.0,267.0,301.0,283.0,254.0,242.0,256.0,235.8,204.7,202.9,316.2,312.0,316.0,:,:,:
Annual,Thousand,Israel,115.0 d,114.0 d,116.0 d,116.0 d,114.0 d,112.0 d,111.0 d,112.0 d,116.0 d,120.4 d,123.8 d,127.6 d,131.3 d,136.0 d,139.3 d,138.5 d,144.2,148.3
Annual,Thousand,Jordan,20.8 d,22.0 d,22.0 d,23.0 d,23.0 d,24.0 d,24.0 d,25.0 d,26.0 d,27.0 d,28.0 d,28.0 d,29.0 d,30.0 d,30.3,29.7,:,:
Annual,Thousand,Libya,23.1,25.5,26.4,27.7,28.8,29.2,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand,Morocco,124.0 p,133.0 p,143.0,153.0,165.0 p,173.0,184.0,194.0 p,207.6 p,222.0 p,231.0 p,242.7 p,251.2 p,261.3 p,269.5,270.6,282.4,289.3 p
Annual,Thousand,Palestine*,7.7 d,8.4 d,8.8 d,9.5 d,9.8 d,10.5 d,11.7 d,11.9 d,13.5 d,15.0 d,15.0 d,15.0 d,16.0 d,16.0 d,16.0 d,6.6 d,8.3 d,14.0
Annual,Thousand,Tunisia,230.0 d,232.0 d,236.0 d,238.0 d,240.0 d,242.0 d,242.0 d,242.0 d,240.2 d,240.1 d,241.4 d,235.0 d,234.0,237.6,236.0,230.9,229.9,:
