Time frequency,Unit of measure,Transport infrastructure,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
Annual,Kilometre,Motorways,Algeria,:,:,:,167.0,557.0,957.0,1038.0,1048.0,1102.0,1118.0,1132.0,1132.0,1132.0,1132.0
Annual,Kilometre,Motorways,Egypt,134 i,134 i,134.0,194.0,194 i,194 i,494 i,494 i,:,:,:,:,:,:
Annual,Kilometre,Motorways,Israel,325.0,340.0,344.0,379.0,447.0,460.0,460.0,464.0,466.0,506.0,506.0,555.0,605.0,622.0
Annual,Kilometre,Motorways,Jordan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Kilometre,Motorways,Lebanon,170.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
Annual,Kilometre,Motorways,Morocco,611 p,639.0,827.0,866.0,917.0,1096.0,1398.0,1416.0,1416.0,1511.0,1588 p,1770 p,1800 p,:
Annual,Kilometre,Motorways,Tunisia,195.0,262.0,:,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,407.0,:,:
Annual,Kilometre,Total,Algeria,:,:,:,111428.0,112596.0,113504.0,115755.0,117000.0,119669.0,123646.0,124783.0,128032.0,128502.0,129474.0
Annual,Kilometre,Total,Egypt,102894.0,106854.0,99829.0,:,:,:,:,:,154647.0,163070.0,168376.0,174605.0,176927.0,:
Annual,Kilometre,Total,Israel,17591 d,17714 d,17872 d,18105 d,18318 d,18482 d,18569 d,18719 d,18868 d,19063 d,19221 d,19366 d,19555 d,19758 d
Annual,Kilometre,Total,Jordan,7601.0,7694.0,7768.0,7816.0,7878.0,7100.0,7204.0,7234.0,7299.0,7339.0,7348.0,7377.0,7483.0,7498.0
Annual,Kilometre,Total,Lebanon,6720.0,6850.0,6850.0,6850.0,6850.0,6850.0,6850.0,6850.0,6850.0,6850.0,6850.0,6850.0,6850.0,6850.0
Annual,Kilometre,Total,Libya,:,:,:,:,15143.0,:,:,16000.0,:,:,:,:,:,:
Annual,Kilometre,Total,Morocco,57534.0,57764.0,57622.0,58015.0,58215.0,58394.0,58696.0,58714.0,58714 p,57334 p,58467 p,59104 p,57334 p,:
Annual,Kilometre,Total,Palestine*,:,5147 d,:,:,5588 d,4686 d,:,:,3521 d,3544 d,3270 d,3297 d,3297 d,3400 d
Annual,Kilometre,Total,Tunisia,:,19275.0,:,19371.0,19371.0,19371.0,19418.0,19431.0,19440.0,19440.0,19482.0,19546.0,:,:
