Time frequency,Unit of measure,Income situation in relation to the risk of poverty threshold,Sex,Age class,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Total,Total,Total,Albania,:,:,:,:,:,9.2,6.0,5.5,3.8,3.3,:,:
Annual,Percentage,Total,Total,Total,Austria,7.0,7.2,6.6,6.4,7.2,7.1,6.8,7.0,6.3,6.1,7.4,6.0
Annual,Percentage,Total,Total,Total,Belgium,11.0,9.6,10.4,9.4,9.8,9.4,8.9,8.4 b,7.8,7.5,7.7,7.7
Annual,Percentage,Total,Total,Total,Bulgaria,14.5,14.3,12.9,14.8,20.7 b,18.9,17.9,16.0,14.4,11.6,15.1,11.1
Annual,Percentage,Total,Total,Total,Switzerland,12.1,10.6,11.7 b,11.7,12.0,12.7,12.8,14.2,13.6,14.8,13.3,14.2
Annual,Percentage,Total,Total,Total,Cyprus,3.3,3.3,4.0,3.9,3.1,2.8,2.0,2.3,1.9,2.5,2.5,2.6
Annual,Percentage,Total,Total,Total,Czechia,10.0,11.7,10.5,10.4,9.5,8.7,7.8,6.9,6.5,6.2,6.9,9.1
Annual,Percentage,Total,Total,Total,Germany,16.6,16.4,15.9,15.6,15.8,14.5,14.2,13.9,9.0 b,11.0,11.9,13.0 b
Annual,Percentage,Total,Total,Total,Denmark,16.7,17.9,15.6,15.1,15.1,15.7,14.7,15.6,14.1 b,15.5,14.7,15.4
Annual,Percentage,Total,Total,Total,Euro area - 19 countries  (2015-2022),11.1,11.3,11.4,11.3,11.0,10.2,9.8,9.8,8.0,8.7 e,:,:
Annual,Percentage,Total,Total,Total,Euro area – 20 countries (from 2023),:,:,11.4,11.3,10.9,10.1,9.7,9.8,8.0,9.3,8.8,8.9
Annual,Percentage,Total,Total,Total,Estonia,7.9,7.2,8.3 b,6.8,4.9,4.8,4.0,4.4,4.4,4.4,4.9,7.6
Annual,Percentage,Total,Total,Total,Greece,33.1,36.9,44.9,45.5,40.5,39.6,39.5,36.2,33.3,28.8,26.7,28.5
Annual,Percentage,Total,Total,Total,Spain,10.7,10.3,10.9,10.3,10.2,9.8,8.9,8.5,8.2,9.9,9.2,8.2
Annual,Percentage,Total,Total,Total,European Union - 27 countries (2007-2013),11.0,11.1,11.7,11.4,11.1,10.5,10.3,10.2 e,:,:,:,:
Annual,Percentage,Total,Total,Total,European Union - 27 countries (from 2020),11.5,11.6,11.5 e,11.2 e,10.9 e,10.1 e,9.6 e,9.4 e,7.8,8.7,8.7,8.8
Annual,Percentage,Total,Total,Total,European Union - 28 countries (2013-2020),11.0,11.1,11.6,11.4,11.1,10.4,10.3,10.1 e,:,:,:,:
Annual,Percentage,Total,Total,Total,Finland,4.5,4.9,5.1,4.9,4.4,4.3,4.3,4.0,4.1,4.3,5.4,5.5
Annual,Percentage,Total,Total,Total,France,5.2,5.2,5.1,5.7,5.2,5.0,4.7,5.5,5.6 b,:,6.5 b,6.5
Annual,Percentage,Total,Total,Total,Croatia,6.8,8.4,7.5,7.2,6.4,5.8,5.1,4.7,4.2,4.5,3.8,4.0
Annual,Percentage,Total,Total,Total,Hungary,14.7,14.3,12.8,8.5,8.8,10.7,9.6,4.2,4.9,2.4,8.1,8.7
Annual,Percentage,Total,Total,Total,Ireland,6.5,4.6,6.4,4.7,4.6,4.5,3.4,5.2 b,4.2 b,2.6,3.7,4.7
Annual,Percentage,Total,Total,Total,Iceland,9.0,8.8,8.1,8.2,6.3,8.4,8.9,12.6,:,:,:,:
Annual,Percentage,Total,Total,Total,Italy,8.1,8.9,8.5,8.6,9.6,8.2,8.2,8.7,7.2,7.2,6.6,5.7
Annual,Percentage,Total,Total,Total,Lithuania,8.9,8.2,7.1,9.1,7.8,7.2,5.6,4.8,2.7,2.7,3.5,5.2
Annual,Percentage,Total,Total,Total,Luxembourg,4.9,5.6,6.8,6.0,7.0 b,7.1,9.3,10.1,8.5 b,5.1 b,9.0 b,11.5
Annual,Percentage,Total,Total,Total,Latvia,11.2,11.4,9.6,8.1,7.0,6.9,6.7,5.4,4.8,4.9,5.4,7.2
Annual,Percentage,Total,Total,Total,Montenegro,:,19.8,16.9,16.8,16.5,15.1,14.7,11.7,9.4,8.0,5.8,:
Annual,Percentage,Total,Total,Total,North Macedonia,20.1,17.6,15.6,12.3,12.5,11.7,10.2,9.9,8.5,:,:,:
