Time frequency,Unit of measure,Type of activity,Tourism indicator,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
Annual,Thousand,Collective tourist accommodation establishments,"Nights spent, total",Israel,23679.6,23950.1,25221.2,26733.2,24806.1,27193.3,27255.3,27509.3,27749.6,27419.7,27038.8,27727.2,30201.7,30967.3
Annual,Thousand,Collective tourist accommodation establishments,"Nights spent, total",Lebanon,:,:,:,1452.0,1956.0,2106.0,1712.0,1611.0,2167.0,1864.0,2479.0,2534.0,:,:
Annual,Thousand,Collective tourist accommodation establishments,"Nights spent, total",Morocco,15215.0 dp,16327.0 dp,16894.0 dp,16462.0 dp,16239.0 dp,18021.0 dp,16867.0 dp,17484.0 dp,19114.1 dp,19633.0 dp,18424.0 dp,19254.9 p,22100.7 p,23953.8 p
Annual,Thousand,Hotels and similar establishments,"Nights spent, total",Algeria,4705.6,4905.2,5119.9,5346.5,5645.8,5939.3,6329.5,6640.2,6921.2,7053.7,7146.6,7276.5,7406.2,7536.0
Annual,Thousand,Hotels and similar establishments,"Nights spent, total",Egypt,44589.0,46065.0,56316.0,54112.0,57144.0,56403.0,39643.0,34039.0,33798.0,41338.0,26477.0,22119.0,:,:
Annual,Thousand,Hotels and similar establishments,"Nights spent, total",Israel,19087.0,19307.7,20478.6,21595.5,19904.7,21863.8,21860.0,22137.8,22481.6,22152.9,21686.2,22105.5,24215.0,25156.8
Annual,Thousand,Hotels and similar establishments,"Nights spent, total",Libya,569.2,290.8,266.2,:,201.2,150.4,:,:,:,:,:,:,:,:
Annual,Thousand,Hotels and similar establishments,"Nights spent, total",Morocco,15215.0 p,16327.0 p,16894.0 p,16462.0 p,16239.0 p,18021.0 p,16867.0 p,17484.0 p,19114.1 p,19633.0 p,18424.0 p,19254.9 p,22100.7 p,23953.8 p
Annual,Thousand,Hotels and similar establishments,"Nights spent, total",Palestine*,350.2 d,383.6 d,673.5,1127.3,1042.3,1285.6,1254.5,1336.8 d,1467.7 d,1537.0 d,1420.0 d,1311.0 d,1579.0 d,1834.0 d
Annual,Thousand,Hotels and similar establishments,"Nights spent, total",Tunisia,36310.0,36840.0,37361.0,38112.0,34623.5,35565.1,20636.8,30035.3,30001.4,29107.2,16177.6,17880.3,:,:
