Time frequency,Income and living conditions indicator,Sex,Geopolitical entity (reporting)\Time,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Denmark,:,:,:,:,:,:,:,0.7,0.71,0.7,0.71,0.7,0.7,0.71,0.71,0.74 b,0.75,0.76,0.78,0.77,0.75,0.77,0.78,0.77,0.78 b,0.77,0.77,0.78
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",0.89 e,0.902 e,0.903 e,0.914 e,0.912 e,0.899 e,0.888 e,:,:,:,:,:,0.87,0.88,0.9,0.91,0.93,0.95,0.95 e,0.95 e,0.94 e,0.94 e,0.93 e,0.93,0.92 b,0.93,:,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Euro area - 18 countries (2014),:,:,:,:,:,:,:,:,0.84,0.86,0.86,0.85,0.87,0.88,0.89,0.91,0.93,0.95,0.95,0.95,0.94,0.94,0.93,0.93,0.92 b,:,:,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Euro area - 19 countries  (2015-2022),:,:,:,:,:,:,:,:,:,0.86,0.86,0.85,0.86,0.88,0.9,0.91,0.93,0.95,0.95,0.95,0.94,0.94,0.93,0.93,0.92 b,0.93,:,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.95,0.95,0.94,0.94,0.93,0.92,0.92,0.93,0.9,0.91
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Estonia,:,:,:,:,:,:,:,:,0.74,0.73,0.69,0.65,0.62,0.66,0.73,0.75,0.72,0.69,0.63 b,0.62,0.6,0.59,0.57,0.58,0.6,0.61,0.53,0.56
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Greece,0.716,0.795,0.734,0.74,0.738,0.769,0.741,0.79 b,0.78,0.79,0.82,0.83,0.86,0.86,0.84,0.81,1.01,1.04,1.0,1.04,1.07,1.04,1.01,1.0,1.0,1.0,0.97,0.94
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Spain,0.952,0.959,0.955,0.936,0.908,0.851,0.855,:,0.78 b,0.77,0.75,0.79,0.83 b,0.87,0.88,0.91,0.96,1.0,1.03,1.01,1.01,0.98,0.95,1.0,1.0,1.03,1.01,1.02
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,:,:,:,:,:,:,:,0.85,0.87,0.88,0.9,0.92,0.93,0.94 e,0.93 e,0.93 e,0.92 e,0.91 e,0.90 e,:,:,:,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,European Union - 27 countries (2007-2013),:,:,:,:,:,:,:,:,:,0.86 i,0.85 i,0.84,0.85,0.87,0.88,0.9,0.92,0.93,0.94,0.93,0.93,0.92,0.91,0.90 e,:,:,:,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.89,0.91,0.92,0.94,0.95 e,0.94 e,0.93 e,0.92 e,0.91 e,0.90 e,0.89 b,0.91,0.9,0.89
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.88,0.9,0.92,0.93,0.94,0.93,0.93,0.92,0.91,0.90 e,:,:,:,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Finland,:,0.824,0.823,0.787,0.776,0.766,0.747,:,0.75 b,0.74,0.73,0.74,0.72,0.73,0.78,0.78,0.78,0.78,0.79,0.81,0.83,0.84,0.82,0.81,0.8,0.8,0.79,0.8
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,France,0.91,0.905,0.921,0.905,0.902,0.903,0.871,:,0.90 b,0.9,0.88,0.91,0.95 b,0.96,0.98,1.01,1.0,1.03,1.02,1.04,1.02,1.03,1.04,1.0,0.98 b,0.95,0.93 b,0.94
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Croatia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.78,0.82,0.84,0.88,0.88,0.85,0.84,0.82,0.79,0.75,0.76,0.74,0.72,0.70 b
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Hungary,:,:,:,:,:,:,:,:,:,1.01,0.94,0.97,1.0,1.02,1.01,0.99,0.96,1.03,1.05,1.01,1.01,0.98,0.97,0.9,0.87,0.87,0.96,0.79
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Ireland,0.767,0.724,0.73,0.696,0.686,0.635,0.636,0.63 b,0.63,0.66,0.7,0.69,0.74,0.78,0.85,0.86,0.86,0.91,0.88,0.88,0.85,0.84,0.84,0.92 b,0.89 b,0.88,0.82,0.92
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Iceland,:,:,:,:,:,:,:,:,0.78,0.79,0.81,0.79,0.81,0.91,0.96,0.9,0.9,0.87,0.9,0.92,0.92,0.92,0.94,0.96,:,:,:,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Italy,0.897,0.925,0.91,0.948,0.956,0.959,0.941,:,0.88 b,0.85,0.87,0.86,0.88,0.89,0.92,0.92,0.96,0.97,0.99,0.99,1.01,1.02,1.01,1.01,1.0,1.06,0.98,0.98
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Lithuania,:,:,:,:,:,:,:,:,:,0.81,0.74,0.69,0.7,0.73,0.93,0.9,0.78,0.81,0.77,0.73,0.71,0.69,0.64,0.68,0.65,0.65,0.63,0.63
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Luxembourg,0.942,0.923,0.998,0.983,0.986,0.968,0.967,0.96 b,0.96,0.96,0.96,0.96,0.97,1.01,1.05,1.05,1.1,1.13,1.11,1.08,1.19 b,1.11,1.25,1.25,1.28 b,1.22 b,1.10 b,1.12
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Latvia,:,:,:,:,:,:,:,:,:,0.75,0.67,0.64,0.53,0.57,0.78,0.86,0.8,0.77,0.71,0.65,0.63,0.61,0.58,:,0.62,0.61,0.64,0.63
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.17,1.15,1.14,1.1,1.06,1.13,1.13,1.13,1.07,1.07,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.01,1.08,1.1,1.12,1.13,1.12,1.12,1.13,1.14,:,:,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Malta,:,:,:,:,:,:,:,:,:,0.75,0.8,0.78,0.73,0.77,0.81,0.79,0.8,0.8,0.77,0.75,0.72,0.71,0.72,0.71,0.77,0.76,0.72,0.67
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Netherlands,0.885,0.901,0.915,0.935,0.93,0.975,0.967,:,:,0.88 b,0.87,0.83,0.84,0.86,0.87,0.87,0.9,0.9,0.89,0.89,0.82 b,0.81,0.81,0.8,0.8,0.74,0.73,0.78
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Norway,:,:,:,:,:,:,:,0.74,0.77,0.79,0.79,0.81,0.81,0.84,0.85,0.85,0.91,0.91,0.92,0.92,0.91,0.91,0.91,0.91,0.9,0.92 b,0.92,0.91 b
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Poland,:,:,:,:,:,:,:,:,:,1.09,1.07,1.04,0.97,0.92,0.93,0.94,0.95,0.98,0.99,0.99,0.97,0.93,0.91,0.88,0.85,0.87,0.89,0.87
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Portugal,0.705,0.729,0.726,0.72,0.762,0.772,0.778,:,0.76 b,0.77,0.79,0.8,0.83,0.85,0.82,0.87,0.92,0.94,0.94,0.92,0.91,0.92,0.9,0.92,0.91,0.93,0.96,0.94
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Romania,:,:,:,:,:,:,:,:,:,:,:,0.76,0.85,0.93,0.97,1.01,1.03,1.04,1.04,1.0,0.97,0.95,0.9,0.83,0.86,0.86,0.97,0.93
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Serbia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.02,1.06,1.07,1.08,1.03,1.02,0.97,0.92,0.93,0.89,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Sweden,:,:,:,:,:,:,:,:,0.79,0.81,0.85,0.81,0.76 b,0.76,0.79,0.77,0.78,0.79,0.82,0.79,0.77,0.78,0.8,0.81,0.8,0.82,0.81,0.82
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Slovenia,:,:,:,:,:,:,:,:,:,0.86,0.85,0.87,0.84,0.86,0.87,0.87,0.87,0.87,0.91,0.9,0.89,0.88,0.85,0.83,0.83,0.84,0.8,0.8
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Slovakia,:,:,:,:,:,:,:,:,:,0.85,0.85,0.81,0.79,0.81,0.83,0.86,0.81,0.9,0.91,0.91,0.91,0.89,0.9,0.85,0.86,0.93,0.96,1.01
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Türkiye,:,:,:,:,:,:,:,:,:,:,1.12,1.11,1.08,1.08,1.07,1.06,1.02,1.08,1.06,1.04,1.03,1.01,1.03,1.1,1.09,1.15,1.09,0.95
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,United Kingdom,0.677,0.716,0.748,0.74,0.779,0.784,0.755,:,:,0.74 b,0.73,0.74,0.74,0.8,0.81,0.81,0.88 b,0.87,0.87,0.88,0.89,0.89 b,0.88,:,:,:,:,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Total,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.07,:,:,:,:,:
