Time frequency,Information society indicator,Unit of measure,Individual type,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Albania,:,:,:,:,:,28.01,34.4,37.53,44.19,51.21,52.95,:
Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Austria,67.39,68.87,61.96,70.33,62.54,60.79,61.77,67.38,70.9,75.98,76.32,77.96
Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Bosnia and Herzegovina,:,:,:,:,:,51.16,39.54,49.18,50.68,:,58.63,65.85
Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Belgium,66.61,71.31,69.79,72.24,73.55,74.61,76.18,77.54,75.16,79.23,78.53,81.57
Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Bulgaria,34.87,41.27,34.52,38.46,39.34,43.0,37.94,50.04,45.75,60.19,50.75,61.85
Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Switzerland,:,71.68,:,:,77.61 b,:,80.93,:,85.75,:,87.74,:
Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Cyprus,56.12,61.74,53.63,61.54,61.45,71.87,71.57,78.31,79.08,73.09,81.25,89.22
Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Czechia,63.36,69.3,68.01,73.69,73.4,76.76,76.24,76.63,79.51,81.57,84.33,86.19
Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Germany,77.18,79.32,80.4,82.21,83.41,86.14,85.56,86.74,60.93 b,60.86,41.67 u,77.76
Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Denmark,82.16,83.81,77.17,86.31,79.31,87.77,85.02,90.0,85.48,89.97,88.59,94.13
Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Estonia,59.96,75.58 b,75.24,77.12,74.77,79.99,77.93,80.87,80.49,78.55,78.83,81.24
Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Greece,49.94,52.05,53.76,56.55,57.38,64.57,66.79,69.43,69.94,74.17,75.76,79.41
Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Spain,47.53,65.58,54.77,66.58,63.0,72.34,72.85,78.29,74.0,75.57,72.3,79.99
Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,European Union - 27 countries (from 2020),57.77,62.24,59.6,63.46,64.05,68.04,66.48,70.03 e,66.14 b,69.55,64.44,75.18
Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Finland,79.28,85.27,81.91,85.43,85.32,83.77,86.56,84.66,90.55,90.34,92.26,88.54
Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,France,68.31,69.04,68.82,64.55 b,67.13,69.81,61.54,:,63.84,74.05,65.41,75.98
Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Croatia,46.41,43.63,56.94,65.87,59.25,65.81,73.86,70.94,73.69,76.08,74.75,73.52
Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Hungary,58.06,65.95,60.66,69.78,65.01,68.63,69.26,76.27,78.93,77.75,84.81,83.19
Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Ireland,60.85,67.68,64.08,67.58,69.7,72.55,76.54,71.72,87.10 b,80.55,85.22,93.17
Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Iceland,86.0,89.13,:,:,88.98,92.07,91.78,94.12,93.5,:,:,:
Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Italy,37.18,35.06,37.12,34.62,37.87,40.36,40.44,48.37,53.04,53.54,58.38,58.07
Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Lithuania,56.49,64.58,57.17,61.73,61.89,67.92,68.55,73.37,74.22,77.19,74.81,79.73
Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Luxembourg,69.72,82.23,75.91,86.19,81.58,76.38 b,67.25,68.32,66.8,69.47,60.12,72.51
Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Latvia,52.19,52.6,54.48,59.70 b,57.21,63.27,61.88,70.86,67.21,69.64,66.76,70.72
Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Montenegro,:,:,:,:,39.91,45.16,37.88,47.03,49.67,58.08,55.71,55.61
Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,North Macedonia,34.04,41.81,29.58,38.75,37.54,49.63,53.41,52.05,57.15,:,:,65.88
Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Malta,50.1,63.77,61.4,64.77,71.1,71.25,71.56,77.19,77.63,79.51,78.04,80.67
Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Netherlands,83.16,85.47,84.4,84.52,88.39,88.91,89.36,88.64,90.61,89.89,95.33,96.28
Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Norway,79.01,88.14,82.17,88.37,83.11,90.61,90.3,91.17,92.75,95.63,95.52,95.22
Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Poland,45.47,50.13,42.24,56.63,58.35,63.98,62.24,62.74,65.63,74.25,64.45,69.26
Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Portugal,45.98,55.67,52.14,58.68,60.49,63.58,64.74,68.12,71.37,72.76,73.18,77.8
Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Romania,25.71,35.55 b,26.22,34.81,31.13,41.43,33.48,45.79,43.66,49.28,48.89,56.28
Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Serbia,:,:,44.13,:,53.04,56.31,52.78,56.07,59.64,67.58,65.16,69.29
Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Sweden,80.82,85.9,72.7,83.41 b,84.12,82.92,83.13,88.48,82.95,88.73,87.46,89.35
Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Slovenia,54.76,62.08,60.97,64.64,69.38,69.25,69.89,76.71,75.2,75.34,76.56,78.9
Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Slovakia,55.72,59.71,57.31,60.81,58.4,63.51,59.85,78.16,71.11,67.11,65.36,70.07
Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Türkiye,25.86,32.59,30.44,38.23,42.62,48.17,48.1,51.98,48.19,61.44,61.19,65.35
Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,United Kingdom,69.63,78.01,74.06,79.85,75.41,81.09,81.3,84.78,:,:,:,:
Annual,Internet use: finding information about goods and services,Percentage of individuals,All individuals,Kosovo*,:,:,:,:,30.79,31.94,37.11,71.18,:,:,:,:
