Time frequency,Income and living conditions indicator,Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Less than 18 years,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",18.5,17.6,17.2,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Less than 18 years,Percentage,European Union - 27 countries (from 2020),18.5,17.6,17.2,16.5,17.6
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Less than 18 years,Percentage,European Union - 28 countries (2013-2020),18.5,:,:,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Less than 18 years,Percentage,Finland,10.3,10.8,8.9,8.0,11.2
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Less than 18 years,Percentage,France,18.2,21.7 b,18.9,22.5 b,23.1
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Less than 18 years,Percentage,Croatia,17.1,15.0,12.8,11.1,9.9 b
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Less than 18 years,Percentage,Hungary,11.5,8.4,10.8,5.0,15.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Less than 18 years,Percentage,Ireland,16.7 b,11.6 b,9.1,10.1,10.8
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Less than 18 years,Percentage,Iceland,11.5,:,:,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Less than 18 years,Percentage,Italy,24.5,22.1,24.4,21.7,23.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Less than 18 years,Percentage,Lithuania,22.7,16.6,9.1,9.1,12.8
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Less than 18 years,Percentage,Luxembourg,24.8,22.1 b,18.9 b,12.9 b,15.5
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Less than 18 years,Percentage,Latvia,14.5,14.2,12.2,11.5,12.7
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Less than 18 years,Percentage,North Macedonia,27.8,27.2,:,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Less than 18 years,Percentage,Malta,20.6,18.3,16.7,13.0,16.9
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Less than 18 years,Percentage,Netherlands,13.6,13.2,10.8,8.9,14.2
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Less than 18 years,Percentage,Norway,13.7,12.6,15.2 b,13.8,13.1 b
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Less than 18 years,Percentage,Poland,13.4,9.6,8.8,8.4,7.5
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Less than 18 years,Percentage,Portugal,18.5,17.3,17.7,15.2,17.5
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Less than 18 years,Percentage,Romania,30.8,26.3,22.9,15.0,18.4
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Less than 18 years,Percentage,Sweden,21.5,18.1,16.3,16.2,19.3
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Less than 18 years,Percentage,Slovenia,10.5,9.4,8.1,6.4,5.8
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Less than 18 years,Percentage,Slovakia,19.0,14.9,17.9,21.4,24.5
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Total,Less than 18 years,Percentage,Türkiye,33.7,33.2,34.3,27.7,24.4
