Time frequency,Unit of measure,Main expenditure type,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Percentage of total expenditure,Administration costs,Albania,:,:,:,:,:,:,:,1.71 p,1.69 p,1.65 p,1.75 p,1.8
Annual,Percentage of total expenditure,Administration costs,Austria,2.03,2.03,1.98,1.93,1.89,1.85,1.85,1.77,1.79,1.65,1.65,1.68
Annual,Percentage of total expenditure,Administration costs,Bosnia and Herzegovina,:,:,2.32,2.46,2.5,2.45,2.46,2.38,2.18,2.13,2.22,2.3
Annual,Percentage of total expenditure,Administration costs,Belgium,3.04,3.08,3.05,3.04,2.95,3.71,3.68,3.63,3.68,3.46,3.56 p,3.6
Annual,Percentage of total expenditure,Administration costs,Bulgaria,2.13 e,2.14 e,1.97 e,1.9 e,1.94 e,1.95 e,1.91 e,2.2 e,2.24 e,2.21 e,2.2 e,2.17
Annual,Percentage of total expenditure,Administration costs,Switzerland,4.14 e,4.17 e,5.23 e,5.51 e,5.66 e,5.69 e,5.66 e,5.8 e,5.65 e,5.41 e,5.99 e,6.93 p
Annual,Percentage of total expenditure,Administration costs,Cyprus,1.38,1.27,1.12,1.06,1.2,1.3,1.29,1.22,1.18,0.96,0.92,0.88
Annual,Percentage of total expenditure,Administration costs,Czechia,3.03 e,2.92 e,2.93 e,2.91 e,2.87 e,2.9 e,2.94 e,2.95 e,2.92 e,2.79 e,2.92 e,2.88
Annual,Percentage of total expenditure,Administration costs,Germany,4.01,3.91,3.91,3.85,3.82,3.71,3.71,3.77,3.71,3.66,3.59,3.66 p
Annual,Percentage of total expenditure,Administration costs,Denmark,2.97,3.64,4.25,4.03,4.17,4.3,4.22,4.36,4.31,4.09,4.11,4.26 p
